m_ref,m_da,Q_W,Q_required,Error,water_kg_hr,water_kg_per_kWh,NTU,effectiveness,W_comp,COP,Re,flow_regime
12.2,2.0,78778.42575831756,47870.70142789434,30907.724330423225,31.356563989978415,0.1408089562047893,0.03916986494009436,0.0384126447057892,222688.7041501405,0.3537603133439755,143846260.1074747,Turbulent
12.3,2.0,79424.15055961526,47870.70142789434,31553.449131720918,31.356563989978415,0.13966416794296174,0.03916986494009436,0.0384126447057892,224514.02139727282,0.3537603133439755,145025327.8132737,Turbulent
12.4,2.0,80069.87536091293,47870.70142789434,32199.173933018596,31.356563989978415,0.13853784400793787,0.03916986494009436,0.0384126447057892,226339.3386444051,0.3537603133439755,146204395.51907268,Turbulent
12.5,2.0,80715.60016221063,47870.70142789434,32844.89873431629,31.356563989978415,0.13742954125587437,0.03916986494009436,0.0384126447057892,228164.6558915374,0.35376031334397556,147383463.22487164,Turbulent
12.6,2.0,81361.3249635083,47870.70142789434,33490.623535613966,31.356563989978415,0.13633883061098645,0.03916986494009436,0.0384126447057892,229989.9731386697,0.3537603133439755,148562530.9306706,Turbulent
12.7,2.0,82007.04976480598,47870.70142789434,34136.348336911644,31.356563989978415,0.13526529651168737,0.03916986494009436,0.0384126447057892,231815.29038580199,0.3537603133439755,149741598.63646957,Turbulent
12.8,2.0,82652.77456610368,47870.70142789434,34782.073138209336,31.356563989978415,0.13420853638268979,0.03916986494009436,0.0384126447057892,233640.60763293432,0.3537603133439755,150920666.34226856,Turbulent
12.9,2.0,83298.49936740137,47870.70142789434,35427.79793950703,31.356563989978415,0.1331681601316612,0.03916986494009436,0.0384126447057892,235465.9248800666,0.35376031334397556,152099734.0480675,Turbulent
13.0,2.0,83944.22416869905,47870.70142789434,36073.52274080471,31.356563989978415,0.13214378966910995,0.03916986494009436,0.0384126447057892,237291.2421271989,0.3537603133439755,153278801.7538665,Turbulent
13.1,2.0,84589.94896999672,47870.70142789434,36719.247542102385,31.356563989978415,0.13113505845026177,0.03916986494009436,0.0384126447057892,239116.5593743312,0.35376031334397545,154457869.45966548,Turbulent
13.2,2.0,85235.6737712944,47870.70142789434,37364.97234340006,31.356563989978415,0.1301416110377598,0.03916986494009436,0.0384126447057892,240941.87662146348,0.35376031334397545,155636937.16546443,Turbulent
13.3,2.0,85881.39857259211,47870.70142789434,38010.69714469777,31.356563989978415,0.12916310268409242,0.03916986494009436,0.0384126447057892,242767.19386859582,0.3537603133439755,156816004.8712634,Turbulent
13.4,2.0,86527.1233738898,47870.70142789434,38656.42194599546,31.356563989978415,0.1281991989327186,0.03916986494009436,0.0384126447057892,244592.5111157281,0.35376031334397556,157995072.5770624,Turbulent
13.5,2.0,87172.84817518746,47870.70142789434,39302.146747293125,31.356563989978415,0.12724957523692068,0.03916986494009436,0.0384126447057892,246417.8283628604,0.3537603133439755,159174140.28286135,Turbulent
13.6,2.0,87818.57297648514,47870.70142789434,39947.8715485908,31.356563989978415,0.12631391659547275,0.03916986494009436,0.0384126447057892,248243.1456099927,0.35376031334397545,160353207.98866034,Turbulent
13.7,2.0,88464.29777778283,47870.70142789434,40593.596349888496,31.356563989978415,0.12539191720426493,0.03916986494009436,0.0384126447057892,250068.46285712498,0.3537603133439755,161532275.6944593,Turbulent
13.8,2.0,89110.02257908054,47870.70142789434,41239.3211511862,31.356563989978415,0.1244832801230746,0.03916986494009436,0.0384126447057892,251893.7801042573,0.35376031334397556,162711343.4002583,Turbulent
13.9,2.0,89755.74738037822,47870.70142789434,41885.04595248388,31.356563989978415,0.12358771695672154,0.03916986494009436,0.0384126447057892,253719.0973513896,0.35376031334397556,163890411.10605726,Turbulent
14.0,2.0,90401.47218167588,47870.70142789434,42530.770753781544,31.356563989978415,0.12270494754988782,0.03916986494009436,0.0384126447057892,255544.4145985219,0.35376031334397545,165069478.81185624,Turbulent
14.1,2.0,91047.19698297358,47870.70142789434,43176.49555507924,31.356563989978415,0.12183469969492407,0.03916986494009436,0.0384126447057892,257369.7318456542,0.3537603133439755,166248546.51765516,Turbulent
14.2,2.0,91692.92178427125,47870.70142789434,43822.220356376914,31.356563989978415,0.12097670885200208,0.03916986494009436,0.0384126447057892,259195.04909278647,0.3537603133439755,167427614.22345415,Turbulent
